x,y
99.37994,108.74556
57.130634,489.80197
57.000805,399.50375
4.9503746,605.66675
99.30375,169.9466
73.825455,295.99066
68.092094,369.51654
27.73739,386.68372
59.25575,387.32135
59.178352,304.35934
19.351954,512.9518
12.284059,589.8301
85.28892,134.58868
4.773587,560.67456
40.599125,444.61212
2.7966142,537.1172
80.00199,251.40858
71.23497,214.93942
75.64958,290.27844
17.963165,443.56653
4.6222153,540.00525
15.067804,480.26733
4.7089458,513.3914
99.89875,272.93082
99.53123,231.49826
65.630394,258.74298
53.24455,262.18817
58.667255,272.1572
98.464035,81.52697
11.696529,654.72485
91.3299,35.942276
41.111137,345.6369
41.740166,509.33527
86.209206,267.3991
41.075825,446.332
81.8032,192.30798
79.67392,265.1002
83.1945,288.10083
72.52452,181.80179
50.72763,377.26328
25.325792,437.10803
91.63757,215.88026
11.534077,714.91174
60.166138,358.8029
33.037704,426.53217
74.13145,264.87195
61.31429,296.48218
60.194237,283.89624
0.84112287,448.09683
96.15937,192.04349
73.979805,403.3786
12.600464,534.6727
97.87648,247.34225
87.87511,255.75786
97.48716,194.68427
2.1418393,523.57947
41.124832,325.62518
14.192587,517.5869
43.76898,417.54938
49.51437,392.78387
